127.0.0.1 - - [20/Nov/2014:05:06:51 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:06:53 +0800] "GET /neu.edu.cs5200/SearchByName.jsp HTTP/1.1" 500 2653
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:07:25 +0800] "GET /neu.edu.cs5200/SearchByName.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:07:26 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:07:26 +0800] "GET /neu.edu.cs5200/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:07:31 +0800] "GET /neu.edu.cs5200/SearchByName.jsp?name=Skinrender&action=search HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:07:31 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:14:12 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:14:12 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:14:18 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=Skinrender&action=search HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:14:18 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:14:57 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:14:57 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:15:12 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=Skinrender&action=search HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:15:12 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:15:28 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:15:28 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:15:30 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=1&action=search HTTP/1.1" 500 2787
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:17:31 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:17:31 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:18:57 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:20:42 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:20:42 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:20:55 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=Skinrender HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:20:55 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:21:04 +0800] "GET /neu.edu.cs5200/SearchByName.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:21:04 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:21:16 +0800] "GET /neu.edu.cs5200/SearchByName.jsp?name=Skinrender&action=search HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:21:16 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:24:21 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:24:21 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:17 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:17 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:19 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=1&action=search HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:19 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:21 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=&action=search HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:21 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:24 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=Skinrender&action=search HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:24 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:26 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=&action=search HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:25:26 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:26:46 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:28:13 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:29:01 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:29:22 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:29:44 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:32:26 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:33:12 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:20 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:20 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:21 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=&action=search HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:21 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:22 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=&action=search HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:22 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:23 +0800] "GET /neu.edu.cs5200/SearchByNameJS.jsp?name=&action=search HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:34:23 +0800] "GET /neu.edu.cs5200/css/round-about.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Nov/2014:05:35:04 +0800] "GET /neu.edu.cs5200/test.jsp HTTP/1.1" 200 356
